0xF900	0x8C48
0xF901	0x66F4
0xF902	0x8ECA
0xF903	0x8CC8
0xF904	0x6ED1
0xF905	0x4E32
0xF906	0x53E5
0xF907	0x9F9C
0xF908	0x9F9C
0xF909	0x5951
0xF90A	0x91D1
0xF90B	0x5587
0xF90C	0x5948
0xF90D	0x61F6
0xF90E	0x7669
0xF90F	0x7F85
0xF910	0x863F
0xF911	0x87BA
0xF912	0x88F8
0xF913	0x908F
0xF914	0x6A02
0xF915	0x6D1B
0xF916	0x70D9
0xF917	0x73DE
0xF918	0x843D
0xF919	0x916A
0xF91A	0x99F1
0xF91B	0x4E82
0xF91C	0x5375
0xF91D	0x6B04
0xF91E	0x721B
0xF91F	0x862D
0xF920	0x9E1E
0xF921	0x5D50
0xF922	0x6FEB
0xF923	0x85CD
0xF924	0x8964
0xF925	0x62C9
0xF926	0x81D8
0xF927	0x881F
0xF928	0x5ECA
0xF929	0x6717
0xF92A	0x6D6A
0xF92B	0x72FC
0xF92C	0x90CE
0xF92D	0x4F86
0xF92E	0x51B7
0xF92F	0x52DE
0xF930	0x64C4
0xF931	0x6AD3
0xF932	0x7210
0xF933	0x76E7
0xF934	0x8001
0xF935	0x8606
0xF936	0x865C
0xF937	0x8DEF
0xF938	0x9732
0xF939	0x9B6F
0xF93A	0x9DFA
0xF93B	0x788C
0xF93C	0x797F
0xF93D	0x7DA0
0xF93E	0x83C9
0xF93F	0x9304
0xF940	0x9E7F
0xF941	0x8AD6
0xF942	0x58DF
0xF943	0x5F04
0xF944	0x7C60
0xF945	0x807E
0xF946	0x7262
0xF947	0x78CA
0xF948	0x8CC2
0xF949	0x96F7
0xF94A	0x58D8
0xF94B	0x5C62
0xF94C	0x6A13
0xF94D	0x6DDA
0xF94E	0x6F0F
0xF94F	0x7D2F
0xF950	0x7E37
0xF951	0x964B
0xF952	0x52D2
0xF953	0x808B
0xF954	0x51DC
0xF955	0x51CC
0xF956	0x7A1C
0xF957	0x7DBE
0xF958	0x83F1
0xF959	0x9675
